Timestamp,INDI_Outer.disturbance,INDI_Outer.disturbance_f,INDI_Outer.disturbance_a
12848,0.0,0.0,0.0
12868,0.0,0.0,0.0
12888,0.0,0.0,0.0
12908,0.0,0.0,0.0
12928,0.0,0.0,0.0
12948,0.0,0.0,0.0
12968,0.0,0.0,0.0
12988,0.0,0.0,0.0
13008,0.0,0.0,0.0
13028,0.0,0.0,0.0
13048,0.0,0.0,0.0
13068,0.0,0.0,0.0
13088,0.0,0.0,0.0
13108,0.0,0.0,0.0
13128,0.0,0.0,0.0
13148,0.0,0.0,0.0
13168,0.0,0.0,0.0
13188,0.0,0.0,0.0
13208,0.0,0.0,0.0
13228,0.0,0.0,0.0
13248,0.0,0.0,0.0
13268,0.0,0.0,0.0
13288,0.0,0.0,0.0
13308,0.0,0.0,0.0
13328,0.0,0.0,0.0
13348,0.0,0.0,0.0
13368,0.0,0.0,0.0
13388,0.0,0.0,0.0
13408,0.0,0.0,0.0
13428,0.0,0.0,0.0
13448,0.0,0.0,0.0
13468,0.0,0.0,0.0
13488,0.0,0.0,0.0
13508,0.0,0.0,0.0
13528,0.0,0.0,0.0
13548,0.0,0.0,0.0
13568,0.0,0.0,0.0
13588,0.0,0.0,0.0
13608,0.0,0.0,0.0
13628,0.0,0.0,0.0
13648,0.0,0.0,0.0
13668,0.0,0.0,0.0
13688,0.0,0.0,0.0
13708,0.0,0.0,0.0
13728,0.0,0.0,0.0
13748,0.0,0.0,0.0
13768,0.0,0.0,0.0
13788,0.0,0.0,0.0
13808,0.0,0.0,0.0
13828,0.0,0.0,0.0
13848,0.0,0.0,0.0
13868,0.0,0.0,0.0
13888,0.0,0.0,0.0
13908,0.0,0.0,0.0
13928,0.0,0.0,0.0
13948,0.0,0.0,0.0
13968,0.0,0.0,0.0
13988,0.0,0.0,0.0
14008,0.0,0.0,0.0
14028,0.0,0.0,0.0
14048,0.0,0.0,0.0
14068,0.0,0.0,0.0
14088,0.0,0.0,0.0
14108,0.0,0.0,0.0
14128,0.0,0.0,0.0
14148,0.0,0.0,0.0
14168,0.0,0.0,0.0
14188,0.0,0.0,0.0
14208,0.0,0.0,0.0
14228,0.0,0.0,0.0
14248,0.0,0.0,0.0
14268,0.0,0.0,0.0
14288,0.0,0.0,0.0
14308,0.0,0.0,0.0
14328,0.0,0.0,0.0
14348,0.0,0.0,0.0
14368,0.0,0.0,0.0
14388,0.0,0.0,0.0
14408,0.0,0.0,0.0
14428,0.0,0.0,0.0
14448,0.0,0.0,0.0
14468,0.0,0.0,0.0
14488,0.0,0.0,0.0
14508,0.0,0.0,0.0
14528,0.0,0.0,0.0
14548,0.0,0.0,0.0
14568,0.0,0.0,0.0
14588,0.0,0.0,0.0
14608,0.0,0.0,0.0
14628,0.0,0.0,0.0
14648,0.0,0.0,0.0
14668,0.0,0.0,0.0
14688,0.0,0.0,0.0
14708,0.0,0.0,0.0
14728,0.0,0.0,0.0
14748,0.0,0.0,0.0
14768,0.0,0.0,0.0
14788,0.0,0.0,0.0
14808,0.0,0.0,0.0
14828,0.0,0.0,0.0
14848,0.0,0.0,0.0
14868,0.0,0.0,0.0
14888,0.0,0.0,0.0
14908,0.0,0.0,0.0
14928,0.0,0.0,0.0
14948,0.0,0.0,0.0
14968,0.0,0.0,0.0
14988,0.0,0.0,0.0
15008,0.0,0.0,0.0
15028,0.0,0.0,0.0
15048,0.0,0.0,0.0
15068,0.0,0.0,0.0
15088,0.0,0.0,0.0
15108,0.0,0.0,0.0
15128,0.0,0.0,0.0
15148,0.0,0.0,0.0
15168,0.0,0.0,0.0
15188,0.0,0.0,0.0
15208,0.0,0.0,0.0
15228,0.0,0.0,0.0
15248,0.0,0.0,0.0
15268,0.0,0.0,0.0
15288,0.0,0.0,0.0
15308,0.0,0.0,0.0
15328,0.0,0.0,0.0
15348,0.0,0.0,0.0
15368,0.0,0.0,0.0
15388,0.0,0.0,0.0
15408,0.0,0.0,0.0
15428,0.0,0.0,0.0
15448,0.0,0.0,0.0
15468,0.0,0.0,0.0
15488,0.0,0.0,0.0
15508,0.0,0.0,0.0
15528,0.0,0.0,0.0
15548,0.0,0.0,0.0
15568,0.0,0.0,0.0
15588,0.0,0.0,0.0
15608,0.0,0.0,0.0
15628,0.0,0.0,0.0
15648,0.0,0.0,0.0
15668,0.0,0.0,0.0
15688,0.0,0.0,0.0
15708,0.0,0.0,0.0
15728,0.0,0.0,0.0
15748,0.0,0.0,0.0
15768,0.0,0.0,0.0
15788,0.0,0.0,0.0
15808,0.0,0.0,0.0
15828,0.0,0.0,0.0
15848,0.0,0.0,0.0
15868,0.0,0.0,0.0
15888,0.0,0.0,0.0
15908,0.0,0.0,0.0
15928,0.0,0.0,0.0
15948,0.0,0.0,0.0
15968,0.0,0.0,0.0
15988,0.0,0.0,0.0
16008,0.0,0.0,0.0
16028,0.0,0.0,0.0
16048,0.0,0.0,0.0
16068,0.0,0.0,0.0
16088,0.0,0.0,0.0
16108,0.0,0.0,0.0
16128,0.0,0.0,0.0
16148,0.0,0.0,0.0
16168,0.0,0.0,0.0
16188,0.0,0.0,0.0
16208,0.0,0.0,0.0
16228,0.0,0.0,0.0
16248,0.0,0.0,0.0
16268,0.0,0.0,0.0
16288,0.0,0.0,0.0
16308,0.0,0.0,0.0
16328,0.0,0.0,0.0
16348,0.0,0.0,0.0
16368,0.0,0.0,0.0
16388,0.0,0.0,0.0
16408,0.0,0.0,0.0
16428,0.0,0.0,0.0
16448,0.0,0.0,0.0
16468,0.0,0.0,0.0
16488,0.0,0.0,0.0
16508,0.0,0.0,0.0
16528,0.0,0.0,0.0
16548,0.0,0.0,0.0
16568,0.0,0.0,0.0
16588,0.0,0.0,0.0
16608,0.0,0.0,0.0
16628,0.0,0.0,0.0
16648,0.0,0.0,0.0
16668,0.0,0.0,0.0
16688,0.0,0.0,0.0
16708,0.0,0.0,0.0
16728,0.0,0.0,0.0
16748,0.0,0.0,0.0
16768,0.0,0.0,0.0
16788,0.0,0.0,0.0
16808,0.0,0.0,0.0
16828,0.0,0.0,0.0
16848,0.0,0.0,0.0
16868,0.0,0.0,0.0
16888,0.0,0.0,0.0
16908,0.0,0.0,0.0
16928,0.0,0.0,0.0
16948,0.0,0.0,0.0
16968,0.0,0.0,0.0
16988,0.0,0.0,0.0
17008,0.0,0.0,0.0
17028,0.0,0.0,0.0
17048,0.0,0.0,0.0
17068,0.0,0.0,0.0
17088,0.0,0.0,0.0
17108,0.0,0.0,0.0
17128,0.0,0.0,0.0
17148,0.0,0.0,0.0
17168,0.0,0.0,0.0
17188,0.0,0.0,0.0
17208,0.0,0.0,0.0
17228,0.0,0.0,0.0
17248,0.0,0.0,0.0
17268,0.0,0.0,0.0
17288,0.0,0.0,0.0
17308,0.0,0.0,0.0
17328,0.0,0.0,0.0
17348,0.0,0.0,0.0
17368,0.0,0.0,0.0
17388,0.0,0.0,0.0
17408,0.0,0.0,0.0
17428,0.0,0.0,0.0
17448,0.0,0.0,0.0
17468,0.0,0.0,0.0
17488,0.0,0.0,0.0
17508,0.0,0.0,0.0
17528,0.0,0.0,0.0
17548,0.0,0.0,0.0
17568,0.0,0.0,0.0
17588,0.0,0.0,0.0
17608,0.0,0.0,0.0
17628,0.0,0.0,0.0
17648,0.0,0.0,0.0
17668,0.0,0.0,0.0
17688,0.0,0.0,0.0
17708,0.0,0.0,0.0
17728,0.0,0.0,0.0
17748,0.0,0.0,0.0
17768,0.0,0.0,0.0
17788,0.0,0.0,0.0
17808,0.0,0.0,0.0
17828,0.0,0.0,0.0
17848,0.0,0.0,0.0
17868,0.0,0.0,0.0
17888,0.0,0.0,0.0
17908,0.0,0.0,0.0
17928,0.0,0.0,0.0
17948,0.0,0.0,0.0
17968,0.0,0.0,0.0
17988,0.0,0.0,0.0
18008,0.0,0.0,0.0
18028,0.0,0.0,0.0
18048,0.0,0.0,0.0
18068,0.0,0.0,0.0
18088,0.0,0.0,0.0
18108,0.0,0.0,0.0
18128,0.0,0.0,0.0
18148,0.0,0.0,0.0
18168,0.0,0.0,0.0
18188,0.0,0.0,0.0
18208,0.0,0.0,0.0
18228,0.0,0.0,0.0
18248,0.0,0.0,0.0
18268,0.0,0.0,0.0
18288,0.0,0.0,0.0
